,text,xmin,xmax,negative,neutral,positive
0,To Sherlock Holmes she is always the woman.,30.668,34.216963980795136,0.028771376237273216,0.7047480940818787,0.26648056507110596
1,I have seldom heard him mention her under any other name.,35.467999999999996,38.62,0.2254706472158432,0.7305165529251099,0.04401281476020813
2,In his eyes she eclipses and predominates the whole of her sex.,39.651999999999994,43.958668487949865,0.09298364818096161,0.8161045908927917,0.09091168642044067
3,It was not that he felt any emotion akin to love for Irene Adler.,44.779999999999994,48.44207201550012,0.010215546004474163,0.3064110577106476,0.6833733916282654
4,"All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind.",48.804367250049644,56.452,0.6119557023048401,0.34408825635910034,0.04395609349012375
5,"He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position.",57.24399999999999,67.65199999999999,0.17813482880592346,0.7285933494567871,0.09327179938554764
6,"He never spoke of the softer passions, save with a gibe and a sneer.",68.452,72.81199999999998,0.477655827999115,0.4620077908039093,0.060336410999298096
7,They were admirable things for the observer--excellent for drawing the veil from men's motives and actions.,73.436,79.32399999999998,0.023707706481218338,0.3750135004520416,0.6012787222862244
8,But for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results.,79.94000000000001,91.91442439630598,0.37913891673088074,0.5986339449882507,0.022227182984352112
9,"Grit in a sensitive instrument, or a crack in one of his own high-power lenses, would not be more disturbing than a strong emotion in a nature such as his. ",92.83600000000001,102.98000191349833,0.08194022625684738,0.7941888570785522,0.12387096881866455
10,"And yet there was but one woman to him, and that woman was the late Irene Adler, of dubious and questionable memory.",103.74800000000002,112.76400000000001,0.575438380241394,0.407659649848938,0.016902044415473938
11,I had seen little of Holmes lately.,114.011870566213,115.668,0.20855461061000824,0.7578743696212769,0.03357101231813431
12,My marriage had drifted us away from each other.,116.14800000000002,118.308,0.6189658641815186,0.3669649362564087,0.014069180004298687
13,"My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes, who loathed every form of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature.",118.86000000000001,150.20399999999998,0.1717844009399414,0.5559348464012146,0.272280752658844
14,"He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police. ",151.37199999999999,167.0950868198541,0.13178589940071106,0.7086825966835022,0.15953150391578674
15,"From time to time I heard some vague account of his doings: of his summons to Odessa in the case of the Trepoff murder, of his clearing up of the singular tragedy of the Atkinson brothers at Trincomalee, and finally of the mission which he had accomplished so delicately and successfully for the reigning family of Holland.
",168.05999999999997,188.956,0.04625280201435089,0.7884640097618103,0.1652831733226776
16,"Beyond these signs of his activity, however, which I merely shared with all the readers of the daily press, I knew little of my former friend and companion.
",190.052,198.80399999999997,0.036566320806741714,0.9011907577514648,0.062242940068244934
17,"One night﻿—it was on the twentieth of March, eigteen eighty eight﻿—I was returning from a journey to a patient (for I had now returned to civil practice), when my way led me through Baker Street.

",200.236,213.08588246898367,0.01111640315502882,0.9109514951705933,0.07793211191892624
18,"As I passed the well-remembered door, which must always be associated in my mind with my wooing, and with the dark incidents of the Study in Scarlet, I was seized with a keen desire to see Holmes again, and to know how he was employing his extraordinary powers.",213.87599999999998,230.3778967024731,0.030633095651865005,0.7085960507392883,0.2607708275318146
