Word,Prediction
THE,"[{'label': 'neutral', 'score': 0.965155303478241}, {'label': 'approval', 'score': 0.010405131615698338}, {'label': 'annoyance', 'score': 0.006084964144974947}, {'label': 'realization', 'score': 0.004673311021178961}, {'label': 'admiration', 'score': 0.004203375428915024}, {'label': 'anger', 'score': 0.004061607178300619}, {'label': 'disapproval', 'score': 0.003130725584924221}, {'label': 'excitement', 'score': 0.0030094317626208067}, {'label': 'disappointment', 'score': 0.002901177853345871}, {'label': 'confusion', 'score': 0.002748079365119338}, {'label': 'sadness', 'score': 0.002398779382929206}, {'label': 'joy', 'score': 0.0022710023913532495}, {'label': 'disgust', 'score': 0.0019723637960851192}, {'label': 'curiosity', 'score': 0.0019350252114236355}, {'label': 'fear', 'score': 0.001786638516932726}, {'label': 'amusement', 'score': 0.0017827360425144434}, {'label': 'optimism', 'score': 0.001716065569780767}, {'label': 'love', 'score': 0.0014143041335046291}, {'label': 'surprise', 'score': 0.0013318919809535146}, {'label': 'gratitude', 'score': 0.0012432141229510307}, {'label': 'caring', 'score': 0.0011449912562966347}, {'label': 'desire', 'score': 0.0011213526595383883}, {'label': 'embarrassment', 'score': 0.0006329151801764965}, {'label': 'grief', 'score': 0.0005177531857043505}, {'label': 'pride', 'score': 0.0004071114235557616}, {'label': 'nervousness', 'score': 0.00040108434041030705}, {'label': 'remorse', 'score': 0.0003465460322331637}, {'label': 'relief', 'score': 0.0003419953281991184}]"
ADVENTURES,"[{'label': 'neutral', 'score': 0.961223840713501}, {'label': 'approval', 'score': 0.009518596343696117}, {'label': 'excitement', 'score': 0.0071095735765993595}, {'label': 'joy', 'score': 0.005283869802951813}, {'label': 'annoyance', 'score': 0.004782892297953367}, {'label': 'anger', 'score': 0.004550036508589983}, {'label': 'realization', 'score': 0.004288641735911369}, {'label': 'admiration', 'score': 0.0037863170728087425}, {'label': 'sadness', 'score': 0.0031343039590865374}, {'label': 'fear', 'score': 0.0028510086704045534}, {'label': 'love', 'score': 0.002825274132192135}, {'label': 'confusion', 'score': 0.002678732620552182}, {'label': 'disappointment', 'score': 0.0026757786981761456}, {'label': 'amusement', 'score': 0.0024287167470902205}, {'label': 'disapproval', 'score': 0.0024064527824521065}, {'label': 'curiosity', 'score': 0.002175115281715989}, {'label': 'disgust', 'score': 0.0021424386650323868}, {'label': 'desire', 'score': 0.0020926122087985277}, {'label': 'optimism', 'score': 0.0020165827590972185}, {'label': 'caring', 'score': 0.0018242368241772056}, {'label': 'surprise', 'score': 0.0017251282697543502}, {'label': 'gratitude', 'score': 0.001586314756423235}, {'label': 'embarrassment', 'score': 0.000776647764723748}, {'label': 'grief', 'score': 0.0007746292394585907}, {'label': 'pride', 'score': 0.0006605239468626678}, {'label': 'nervousness', 'score': 0.0006255562766455114}, {'label': 'remorse', 'score': 0.0005341666401363909}, {'label': 'relief', 'score': 0.0005126418545842171}]"
OF,"[{'label': 'neutral', 'score': 0.9654642343521118}, {'label': 'approval', 'score': 0.012351203709840775}, {'label': 'annoyance', 'score': 0.007910977117717266}, {'label': 'realization', 'score': 0.005597637966275215}, {'label': 'disapproval', 'score': 0.005033065564930439}, {'label': 'disappointment', 'score': 0.00487618800252676}, {'label': 'admiration', 'score': 0.004311108496040106}, {'label': 'anger', 'score': 0.003920727875083685}, {'label': 'sadness', 'score': 0.003895479254424572}, {'label': 'disgust', 'score': 0.002659769030287862}, {'label': 'joy', 'score': 0.0022328821942210197}, {'label': 'excitement', 'score': 0.002222284907475114}, {'label': 'fear', 'score': 0.0020592305809259415}, {'label': 'amusement', 'score': 0.0017830210272222757}, {'label': 'optimism', 'score': 0.0017327202949672937}, {'label': 'confusion', 'score': 0.001597271184436977}, {'label': 'love', 'score': 0.0013154798652976751}, {'label': 'caring', 'score': 0.0013057832838967443}, {'label': 'gratitude', 'score': 0.0012174126459285617}, {'label': 'surprise', 'score': 0.0011666861828416586}, {'label': 'curiosity', 'score': 0.0011182917514815927}, {'label': 'embarrassment', 'score': 0.0010056979954242706}, {'label': 'desire', 'score': 0.000975074537564069}, {'label': 'grief', 'score': 0.0006926136557012796}, {'label': 'remorse', 'score': 0.0005669065285474062}, {'label': 'pride', 'score': 0.0005037137889303267}, {'label': 'relief', 'score': 0.00047084144898690283}, {'label': 'nervousness', 'score': 0.0004637210222426802}]"
SHERLOCK,"[{'label': 'neutral', 'score': 0.9367507696151733}, {'label': 'annoyance', 'score': 0.011406767182052135}, {'label': 'approval', 'score': 0.011263556778430939}, {'label': 'anger', 'score': 0.010724098421633244}, {'label': 'realization', 'score': 0.004880665335804224}, {'label': 'disgust', 'score': 0.004779874812811613}, {'label': 'amusement', 'score': 0.003592286491766572}, {'label': 'sadness', 'score': 0.003565196180716157}, {'label': 'fear', 'score': 0.003044809913262725}, {'label': 'disappointment', 'score': 0.0028972188010811806}, {'label': 'admiration', 'score': 0.0028104751836508512}, {'label': 'disapproval', 'score': 0.00208672764711082}, {'label': 'excitement', 'score': 0.0019085702951997519}, {'label': 'confusion', 'score': 0.0017875946359708905}, {'label': 'optimism', 'score': 0.0016687955940142274}, {'label': 'caring', 'score': 0.001601367606781423}, {'label': 'joy', 'score': 0.001557070529088378}, {'label': 'embarrassment', 'score': 0.0014957080129534006}, {'label': 'curiosity', 'score': 0.0013709970517084002}, {'label': 'surprise', 'score': 0.0011710112448781729}, {'label': 'love', 'score': 0.0011039023520424962}, {'label': 'desire', 'score': 0.0010649586329236627}, {'label': 'gratitude', 'score': 0.0006785024306736887}, {'label': 'grief', 'score': 0.0006661678780801594}, {'label': 'remorse', 'score': 0.0004920568899251521}, {'label': 'pride', 'score': 0.00047861947678029537}, {'label': 'nervousness', 'score': 0.0004737615236081183}, {'label': 'relief', 'score': 0.00035291031235828996}]"
HOLMES,"[{'label': 'neutral', 'score': 0.9594162702560425}, {'label': 'approval', 'score': 0.009392164647579193}, {'label': 'sadness', 'score': 0.008447440341114998}, {'label': 'annoyance', 'score': 0.006071222946047783}, {'label': 'realization', 'score': 0.005190800875425339}, {'label': 'disappointment', 'score': 0.005129531491547823}, {'label': 'disapproval', 'score': 0.003671341808512807}, {'label': 'amusement', 'score': 0.0031413231045007706}, {'label': 'joy', 'score': 0.003090541111305356}, {'label': 'admiration', 'score': 0.0027791059110313654}, {'label': 'anger', 'score': 0.002728401916101575}, {'label': 'excitement', 'score': 0.002719577867537737}, {'label': 'disgust', 'score': 0.002668177243322134}, {'label': 'fear', 'score': 0.0026182287838310003}, {'label': 'confusion', 'score': 0.001928649377077818}, {'label': 'optimism', 'score': 0.0017291245749220252}, {'label': 'caring', 'score': 0.0015748963924124837}, {'label': 'curiosity', 'score': 0.0015056696720421314}, {'label': 'desire', 'score': 0.001404339331202209}, {'label': 'surprise', 'score': 0.001332162180915475}, {'label': 'love', 'score': 0.0013297018595039845}, {'label': 'gratitude', 'score': 0.001165474415756762}, {'label': 'embarrassment', 'score': 0.0011052670888602734}, {'label': 'grief', 'score': 0.0009822146967053413}, {'label': 'nervousness', 'score': 0.000855424499604851}, {'label': 'remorse', 'score': 0.0007412179838865995}, {'label': 'relief', 'score': 0.0005799170467071235}, {'label': 'pride', 'score': 0.0004489138664212078}]"
.,"[{'label': 'neutral', 'score': 0.9674344658851624}, {'label': 'approval', 'score': 0.011802221648395061}, {'label': 'annoyance', 'score': 0.007544702384620905}, {'label': 'realization', 'score': 0.005322545766830444}, {'label': 'disapproval', 'score': 0.004763767123222351}, {'label': 'disappointment', 'score': 0.0037169167771935463}, {'label': 'anger', 'score': 0.0034556870814412832}, {'label': 'admiration', 'score': 0.0033788273576647043}, {'label': 'confusion', 'score': 0.0026864097453653812}, {'label': 'sadness', 'score': 0.002586099086329341}, {'label': 'excitement', 'score': 0.002200174843892455}, {'label': 'joy', 'score': 0.0019626447465270758}, {'label': 'disgust', 'score': 0.0019308158662170172}, {'label': 'curiosity', 'score': 0.0018657570471987128}, {'label': 'amusement', 'score': 0.0018142495537176728}, {'label': 'fear', 'score': 0.0016712276265025139}, {'label': 'optimism', 'score': 0.0015581509796902537}, {'label': 'caring', 'score': 0.001072729704901576}, {'label': 'surprise', 'score': 0.0010352175449952483}, {'label': 'love', 'score': 0.0010337356943637133}, {'label': 'desire', 'score': 0.0009654826717451215}, {'label': 'gratitude', 'score': 0.0009350944892503321}, {'label': 'embarrassment', 'score': 0.0006835017120465636}, {'label': 'grief', 'score': 0.0004944714601151645}, {'label': 'nervousness', 'score': 0.00042324818787164986}, {'label': 'pride', 'score': 0.0003402753791306168}, {'label': 'remorse', 'score': 0.00033981617889367044}, {'label': 'relief', 'score': 0.000333260977640748}]"
A,"[{'label': 'neutral', 'score': 0.9615640640258789}, {'label': 'approval', 'score': 0.010897315107285976}, {'label': 'annoyance', 'score': 0.008209134452044964}, {'label': 'realization', 'score': 0.0051718116737902164}, {'label': 'anger', 'score': 0.004308550618588924}, {'label': 'confusion', 'score': 0.0029983031563460827}, {'label': 'curiosity', 'score': 0.0028312020003795624}, {'label': 'disapproval', 'score': 0.0027926815673708916}, {'label': 'disappointment', 'score': 0.002436059294268489}, {'label': 'excitement', 'score': 0.002432412002235651}, {'label': 'admiration', 'score': 0.002276391489431262}, {'label': 'disgust', 'score': 0.0021736212074756622}, {'label': 'sadness', 'score': 0.0019310566131025553}, {'label': 'joy', 'score': 0.0016713349614292383}, {'label': 'amusement', 'score': 0.0016289164777845144}, {'label': 'optimism', 'score': 0.001486494904384017}, {'label': 'fear', 'score': 0.0014503089478239417}, {'label': 'surprise', 'score': 0.001306648482568562}, {'label': 'love', 'score': 0.0012026041513308883}, {'label': 'desire', 'score': 0.0010421377373859286}, {'label': 'caring', 'score': 0.0009423659066669643}, {'label': 'gratitude', 'score': 0.0007859194302000105}, {'label': 'embarrassment', 'score': 0.00065944081870839}, {'label': 'grief', 'score': 0.0004103193641640246}, {'label': 'nervousness', 'score': 0.0003400589048396796}, {'label': 'relief', 'score': 0.0002839420922100544}, {'label': 'pride', 'score': 0.00027722204686142504}, {'label': 'remorse', 'score': 0.00024084279721137136}]"
SCANDAL,"[{'label': 'neutral', 'score': 0.9577820897102356}, {'label': 'approval', 'score': 0.011165162548422813}, {'label': 'annoyance', 'score': 0.0059219785034656525}, {'label': 'admiration', 'score': 0.005403659772127867}, {'label': 'realization', 'score': 0.004885860253125429}, {'label': 'excitement', 'score': 0.0042913141660392284}, {'label': 'anger', 'score': 0.0037004011683166027}, {'label': 'disappointment', 'score': 0.003019790630787611}, {'label': 'amusement', 'score': 0.002905159955844283}, {'label': 'joy', 'score': 0.002733738161623478}, {'label': 'disgust', 'score': 0.0026697232387959957}, {'label': 'disapproval', 'score': 0.0025641201063990593}, {'label': 'confusion', 'score': 0.0023864044342190027}, {'label': 'sadness', 'score': 0.0023687188513576984}, {'label': 'fear', 'score': 0.0019628466106951237}, {'label': 'love', 'score': 0.001865900936536491}, {'label': 'curiosity', 'score': 0.0018468317575752735}, {'label': 'surprise', 'score': 0.0017672240501269698}, {'label': 'optimism', 'score': 0.0013117302441969514}, {'label': 'embarrassment', 'score': 0.000976734678260982}, {'label': 'desire', 'score': 0.0009216874022968113}, {'label': 'gratitude', 'score': 0.0008479506359435618}, {'label': 'caring', 'score': 0.0008296698797494173}, {'label': 'grief', 'score': 0.0005516299279406667}, {'label': 'pride', 'score': 0.0005437305662781}, {'label': 'nervousness', 'score': 0.0004041315405629575}, {'label': 'relief', 'score': 0.00036329281283542514}, {'label': 'remorse', 'score': 0.0003619518247433007}]"
IN,"[{'label': 'neutral', 'score': 0.9667761921882629}, {'label': 'approval', 'score': 0.01420049462467432}, {'label': 'annoyance', 'score': 0.00677376938983798}, {'label': 'realization', 'score': 0.005882010795176029}, {'label': 'anger', 'score': 0.0034517021849751472}, {'label': 'admiration', 'score': 0.003277831943705678}, {'label': 'disapproval', 'score': 0.003273253096267581}, {'label': 'disappointment', 'score': 0.0030445405282080173}, {'label': 'excitement', 'score': 0.0024294331669807434}, {'label': 'sadness', 'score': 0.0024269684217870235}, {'label': 'confusion', 'score': 0.0023293897975236177}, {'label': 'disgust', 'score': 0.0021424610167741776}, {'label': 'optimism', 'score': 0.0019406953360885382}, {'label': 'fear', 'score': 0.0018200998893007636}, {'label': 'amusement', 'score': 0.001764683984220028}, {'label': 'curiosity', 'score': 0.0016941353678703308}, {'label': 'joy', 'score': 0.0016596950590610504}, {'label': 'love', 'score': 0.0012020024005323648}, {'label': 'desire', 'score': 0.0011518383398652077}, {'label': 'surprise', 'score': 0.0011116676032543182}, {'label': 'caring', 'score': 0.0011074022622779012}, {'label': 'gratitude', 'score': 0.0007780978921800852}, {'label': 'embarrassment', 'score': 0.0006514296401292086}, {'label': 'grief', 'score': 0.0004743396712001413}, {'label': 'nervousness', 'score': 0.00039493729127570987}, {'label': 'pride', 'score': 0.00036091470974497497}, {'label': 'remorse', 'score': 0.00032634803210385144}, {'label': 'relief', 'score': 0.00032012793235480785}]"
BOHEMIA,"[{'label': 'neutral', 'score': 0.96428382396698}, {'label': 'approval', 'score': 0.009494534693658352}, {'label': 'annoyance', 'score': 0.0069974674843251705}, {'label': 'anger', 'score': 0.005973737686872482}, {'label': 'admiration', 'score': 0.0044014062732458115}, {'label': 'realization', 'score': 0.004142225254327059}, {'label': 'excitement', 'score': 0.0035789827816188335}, {'label': 'sadness', 'score': 0.003111125435680151}, {'label': 'disappointment', 'score': 0.0031038548331707716}, {'label': 'disgust', 'score': 0.0030867354944348335}, {'label': 'joy', 'score': 0.00304809445515275}, {'label': 'disapproval', 'score': 0.002933220472186804}, {'label': 'amusement', 'score': 0.002813386032357812}, {'label': 'love', 'score': 0.0025795469991862774}, {'label': 'fear', 'score': 0.002543295966461301}, {'label': 'confusion', 'score': 0.002324063330888748}, {'label': 'optimism', 'score': 0.001730169402435422}, {'label': 'curiosity', 'score': 0.0015696671325713396}, {'label': 'desire', 'score': 0.001432607532478869}, {'label': 'surprise', 'score': 0.0013884141808375716}, {'label': 'caring', 'score': 0.0013712301151826978}, {'label': 'gratitude', 'score': 0.0009801245760172606}, {'label': 'embarrassment', 'score': 0.0008825529366731644}, {'label': 'grief', 'score': 0.0006751205655746162}, {'label': 'pride', 'score': 0.0005439462256617844}, {'label': 'nervousness', 'score': 0.0004863332724198699}, {'label': 'remorse', 'score': 0.0004462194337975234}, {'label': 'relief', 'score': 0.0003861832374241203}]"
